"","DownEventID","UpEventID","DownTime","UpTime","ActionTime","DownEvent","UpEvent","Cursorposition","WordCount","TextChange","Activity"
"1","1","1",1769,1822,53,"Leftclick","Leftclick","0","0","NoChange","Nonproduction"
"2","2","2",10539,10539,0,"Shift","Shift","0","0","NoChange","Nonproduction"
"3","3","3",10690,10766,76,"I","I","1","1","I","Input"
"4","4","4",10908,10998,90,"Space","Space","2","1"," ","Input"
"5","5","5",11096,11170,74,"t","t","3","2","t","Input"
"6","6","6",11189,11265,76,"h","h","4","2","h","Input"
"7","7","7",11338,11402,64,"i","i","5","2","i","Input"
"8","8","8",11487,11578,91,"n","n","6","2","n","Input"
"9","9","9",11658,11722,64,"k","k","7","2","k","Input"
"10","10","10",11822,11895,73,"Space","Space","8","2"," ","Input"
"11","11","11",12003,12083,80,"m","m","9","3","m","Input"
"12","12","12",12163,12230,67,"o","o","10","3","o","Input"
"13","13","13",12238,12351,113,"s","s","11","3","s","Input"
"14","14","14",12402,12477,75,"t","t","12","3","t","Input"
"15","15","15",13563,13635,72,"Space","Space","13","3"," ","Input"
"16","16","16",13752,13831,79,"o","o","14","4","o","Input"
"17","17","17",13854,13938,84,"f","f","15","4","f","Input"
"18","18","18",13950,14026,76,"Space","Space","16","4"," ","Input"
"19","19","19",14066,14130,64,"t","t","17","5","t","Input"
"20","20","20",14158,14234,76,"h","h","18","5","h","Input"
"21","21","21",14278,14358,80,"e","e","19","5","e","Input"
"22","22","22",14383,14459,76,"Space","Space","20","5"," ","Input"
"23","23","23",14580,14662,82,"p","p","21","6","p","Input"
"24","24","24",14714,14785,71,"e","e","22","6","e","Input"
"25","25","25",14774,14838,64,"o","o","23","6","o","Input"
"26","26","26",14939,15019,80,"p","p","24","6","p","Input"
"27","27","27",15107,15179,72,"l","l","25","6","l","Input"
"28","28","28",15244,15314,70,"e","e","26","6","e","Input"
"29","29","29",15335,15383,48,"Space","Space","27","6"," ","Input"
"30","30","30",15519,15590,71,"h","h","28","7","h","Input"
"31","31","31",15570,15680,110,"a","a","29","7","a","Input"
"32","32","32",15711,15787,76,"v","v","30","7","v","Input"
"33","33","33",15828,15886,58,"e","e","31","7","e","Input"
"34","34","34",15927,16003,76,"Space","Space","32","7"," ","Input"
"35","35","35",16111,16202,91,"b","b","33","8","b","Input"
"36","36","36",16314,16404,90,"o","o","34","8","o","Input"
"37","37","37",16424,16477,53,"t","t","35","8","t","Input"
"38","38","38",16515,16595,80,"h","h","36","8","h","Input"
"39","39","39",16705,16786,81,"Space","Space","37","8"," ","Input"
"40","40","40",17266,17306,40,"Backspace","Backspace","36","8"," ","Remove/Cut"
"41","41","41",18253,18263,10,"Space","Space","37","8"," ","Input"
"42","42","42",18567,18646,79,"t","t","38","9","t","Input"
"43","43","43",18702,18784,82,"h","h","39","9","h","Input"
"44","44","44",18810,18890,80,"e","e","40","9","e","Input"
"45","45","45",18946,19022,76,"Space","Space","41","9"," ","Input"
"46","46","46",19052,19154,102,"s","s","42","10","s","Input"
"47","47","47",19215,19282,67,"i","i","43","10","i","Input"
"48","48","48",19307,19446,139,"d","d","44","10","d","Input"
"49","49","49",19471,19514,43,"e","e","45","10","e","Input"
"50","50","50",20080,20191,111,"s","s","46","10","s","Input"
"51","51","51",20268,20347,79,"Space","Space","47","10"," ","Input"
"52","52","52",20455,20538,83,"o","o","48","11","o","Input"
"53","53","53",20584,20663,79,"f","f","49","11","f","Input"
"54","54","54",20694,20766,72,"Space","Space","50","11"," ","Input"
"55","55","55",22175,22246,71,"t","t","51","12","t","Input"
"56","56","56",22282,22347,65,"h","h","52","12","h","Input"
"57","57","57",22420,22503,83,"i","i","53","12","i","Input"
"58","58","58",22611,22698,87,"n","n","54","12","n","Input"
"59","59","59",22783,22862,79,"k","k","55","12","k","Input"
"60","60","60",22951,23018,67,"i","i","56","12","i","Input"
"61","61","61",23107,23180,73,"n","n","57","12","n","Input"
"62","62","62",23218,23298,80,"g","g","58","12","g","Input"
"63","63","63",23330,23386,56,"Space","Space","59","12"," ","Input"
"64","64","64",25596,25675,79,"b","b","60","13","b","Input"
"65","65","65",25748,25875,127,"a","a","61","13","a","Input"
"66","66","66",25931,26055,124,"s","s","62","13","s","Input"
"67","67","67",26143,26226,83,"e","e","63","13","e","Input"
"68","68","68",26287,26374,87,"d","d","64","13","d","Input"
"69","69","69",26432,26502,70,"Space","Space","65","13"," ","Input"
"70","70","70",26706,26783,77,"o","o","66","14","o","Input"
"71","71","71",26874,26954,80,"n","n","67","14","n","Input"
"72","72","72",27064,27130,66,"Space","Space","68","14"," ","Input"
"73","73","73",27166,27259,93,"t","t","69","15","t","Input"
"74","74","74",27300,27376,76,"h","h","70","15","h","Input"
"75","75","75",27408,27491,83,"e","e","71","15","e","Input"
"76","76","76",27515,27590,75,"i","i","72","15","i","Input"
"77","77","77",27642,27710,68,"r","r","73","15","r","Input"
"78","78","78",27738,27809,71,"Space","Space","74","15"," ","Input"
"79","79","79",28612,28690,78,"l","l","75","16","l","Input"
"80","80","80",28774,28846,72,"i","i","76","16","i","Input"
"81","81","81",29252,29342,90,"f","f","77","16","f","Input"
"82","82","82",29399,29482,83,"e","e","78","16","e","Input"
"83","83","83",29627,29694,67,".",".","79","16",".","Input"
"84","84","84",29861,29931,70,"Space","Space","80","16"," ","Input"
"85","85","85",30384,30384,0,"Shift","Shift","80","16","NoChange","Nonproduction"
"86","86","86",30628,30711,83,"T","T","81","17","T","Input"
"87","87","87",30831,30902,71,"h","h","82","17","h","Input"
"88","88","88",30960,31030,70,"e","e","83","17","e","Input"
"89","89","89",31053,31123,70,"y","y","84","17","y","Input"
"90","90","90",31283,31354,71,"Space","Space","85","17"," ","Input"
"91","91","91",31502,31634,132,"c","c","86","18","c","Input"
"92","92","92",31611,31714,103,"a","a","87","18","a","Input"
"93","93","93",31726,31783,57,"n","n","88","18","n","Input"
"94","94","94",31893,31954,61,"Space","Space","89","18"," ","Input"
"95","95","95",32005,32088,83,"e","e","90","19","e","Input"
"96","96","96",32139,32202,63,"i","i","91","19","i","Input"
"97","97","97",32255,32318,63,"t","t","92","19","t","Input"
"98","98","98",32330,32398,68,"h","h","93","19","h","Input"
"99","99","99",32458,32541,83,"e","e","94","19","e","Input"
"100","100","100",32526,32606,80,"r","r","95","19","r","Input"
"101","101","101",32655,32718,63,"Space","Space","96","19"," ","Input"
"102","102","102",32877,32956,79,"b","b","97","20","b","Input"
"103","103","103",33003,33070,67,"e","e","98","20","e","Input"
"104","104","104",33098,33162,64,"Space","Space","99","20"," ","Input"
"105","105","105",33284,33366,82,"h","h","100","21","h","Input"
"106","106","106",33382,33462,80,"a","a","101","21","a","Input"
"107","107","107",33543,33605,62,"p","p","102","21","p","Input"
"108","108","108",33654,33738,84,"p","p","103","21","p","Input"
"109","109","109",33893,33974,81,"y","y","104","21","y","Input"
"110","110","110",34142,34230,88,"Space","Space","105","21"," ","Input"
"111","111","111",34367,34433,66,"b","b","106","22","b","Input"
"112","112","112",34539,34622,83,"y","y","107","22","y","Input"
"113","113","113",34754,34838,84,"Space","Space","108","22"," ","Input"
"114","114","114",35383,35446,63,"o","o","109","23","o","Input"
"115","115","115",35518,35586,68,"t","t","110","23","t","Input"
"116","116","116",35598,35666,68,"h","h","111","23","h","Input"
"117","117","117",35730,35826,96,"e","e","112","23","e","Input"
"118","118","118",35799,35919,120,"r","r","113","23","r","Input"
"119","119","119",36096,36190,94,"s","s","114","23","s","Input"
"120","120","120",36314,36382,68,"Space","Space","115","23"," ","Input"
