,DownEventID,UpEventID,DownTime,UpTime,ActionTime,DownEvent,UpEvent,Cursorposition,WordCount,TextChange,Activity
1,1,1,36519,36626,107,Leftclick,Leftclick,0,0,NoChange,Nonproduction
2,2,2,45508,45508,0,Shift,Shift,0,0,NoChange,Nonproduction
3,3,3,45612,45696,84,T,T,1,1,T,Input
4,4,4,45788,45893,105,h,h,2,1,h,Input
5,5,5,45936,46058,122,e,e,3,1,e,Input
6,6,6,46056,46158,102,Space,Space,4,1, ,Input
7,7,7,46370,46530,160,d,d,5,2,d,Input
8,8,8,46443,46589,146,e,e,6,2,e,Input
9,9,9,46822,46922,100,b,b,7,2,b,Input
10,10,10,46881,47015,134,a,a,8,2,a,Input
11,11,11,47135,47254,119,t,t,9,2,t,Input
12,12,12,47176,47314,138,e,e,10,2,e,Input
13,13,13,47318,47397,79,Space,Space,11,2, ,Input
14,14,14,47490,47573,83,a,a,12,3,a,Input
15,15,15,47564,47669,105,g,g,13,3,g,Input
16,16,16,47677,47780,103,a,a,14,3,a,Input
17,17,17,47714,47950,236,i,i,15,3,i,Input
18,18,18,47847,48022,175,n,n,16,3,n,Input
19,19,19,47962,48031,69,s,s,17,3,s,Input
20,20,20,48235,48388,153,t,t,18,3,t,Input
21,21,21,48359,48478,119,Space,Space,19,3, ,Input
22,22,22,49845,49968,123,m,m,20,4,m,Input
23,23,23,49930,50042,112,a,a,21,4,a,Input
24,24,24,50176,50272,96,t,t,22,4,t,Input
25,25,25,50372,50601,229,e,e,23,4,e,Input
26,26,26,50473,50625,152,r,r,24,4,r,Input
27,27,27,50841,51004,163,i,i,25,4,i,Input
28,28,28,51057,51202,145,a,a,26,4,a,Input
29,29,29,51154,51266,112,l,l,27,4,l,Input
30,30,30,51346,51457,111,i,i,28,4,i,Input
31,31,31,51552,51664,112,s,s,29,4,s,Input
32,32,32,51827,51943,116,m,m,30,4,m,Input
33,33,33,52918,53057,139,Space,Space,31,4, ,Input
34,34,34,53459,53598,139,c,c,32,5,c,Input
35,35,35,53533,53694,161,a,a,33,5,a,Input
36,36,36,53647,53753,106,n,n,34,5,n,Input
37,37,37,53870,53976,106,Space,Space,35,5, ,Input
38,38,38,54071,54170,99,b,b,36,6,b,Input
39,39,39,54117,54246,129,e,e,37,6,e,Input
40,40,40,56282,56416,134,Space,Space,38,6, ,Input
41,41,41,56401,56585,184,s,s,39,7,s,Input
42,42,42,56485,56594,109,e,e,40,7,e,Input
43,43,43,56640,56775,135,e,e,41,7,e,Input
44,44,44,56849,56937,88,n,n,42,7,n,Input
45,45,45,57156,57326,170,i,i,43,7,i,Input
46,46,46,57252,57427,175,n,n,44,7,n,Input
47,47,47,57688,57793,105,Backspace,Backspace,43,7,n,Remove/Cut
48,48,48,57851,57984,133,Backspace,Backspace,42,7,i,Remove/Cut
49,49,49,58149,58236,87,Space,Space,43,7, ,Input
50,50,50,58275,58455,180,i,i,44,8,i,Input
51,51,51,58375,58524,149,n,n,45,8,n,Input
52,52,52,58630,58743,113,Space,Space,46,8, ,Input
53,53,53,58826,58955,129,m,m,47,9,m,Input
54,54,54,59015,59100,85,u,u,48,9,u,Input
55,55,55,59159,59275,116,l,l,49,9,l,Input
56,56,56,59278,59380,102,t,t,50,9,t,Input
57,57,57,59325,59440,115,i,i,51,9,i,Input
58,58,58,59557,59702,145,p,p,52,9,p,Input
59,59,59,59629,59772,143,l,l,53,9,l,Input
60,60,60,59720,59800,80,e,e,54,9,e,Input
61,61,61,59881,59992,111,Space,Space,55,9, ,Input
62,62,62,60041,60188,147,p,p,56,10,p,Input
63,63,63,60111,60272,161,e,e,57,10,e,Input
64,64,64,60183,60303,120,r,r,58,10,r,Input
65,65,65,60397,60536,139,c,c,59,10,c,Input
66,66,66,60517,60637,120,e,e,60,10,e,Input
67,67,67,60608,60741,133,p,p,61,10,p,Input
68,68,68,60745,60844,99,t,t,62,10,t,Input
69,69,69,60921,61042,121,e,e,63,10,e,Input
70,70,70,61619,61701,82,Backspace,Backspace,62,10,e,Remove/Cut
71,71,71,61816,61940,124,Backspace,Backspace,61,10,t,Remove/Cut
72,72,72,63052,63122,70,Backspace,Backspace,60,10,p,Remove/Cut
73,73,73,63182,63295,113,Backspace,Backspace,59,10,e,Remove/Cut
74,74,74,63722,63837,115,p,p,60,10,p,Input
75,75,75,63869,63994,125,e,e,61,10,e,Input
76,76,76,64081,64176,95,c,c,62,10,c,Input
77,77,77,64330,64439,109,t,t,63,10,t,Input
78,78,78,64443,64523,80,i,i,64,10,i,Input
79,79,79,64552,64627,75,v,v,65,10,v,Input
80,80,80,64712,64866,154,e,e,66,10,e,Input
81,81,81,65258,65365,107,s,s,67,10,s,Input
82,82,82,65398,65509,111,",",",",68,10,",",Input
83,83,83,65596,65738,142,Space,Space,69,10, ,Input
84,84,84,72265,72383,118,f,f,70,11,f,Input
85,85,85,72406,72485,79,o,o,71,11,o,Input
86,86,86,72456,72576,120,r,r,72,11,r,Input
87,87,87,72580,72669,89,Space,Space,73,11, ,Input
88,88,88,72741,72834,93,m,m,74,12,m,Input
